Two miles, 9:14.09, Priscah Cherono, 14 September 2007, Memorial Van Damme, Brussels, Belgium,,
5000 m, 14:18.37, Hellen Obiri, 8 June 2017, Golden Gala, Rome, Italy,,
5 km (road), 14:32+, Joyciline Jepkosgei, 9 September 2017, Birell Prague Grand Prix, Prague, Czech Republic,,
4 miles (road), 19:14, Viola Kibiwot, 13 October 2013, 4 Mile of Groningen, Groningen, Netherlands,,
10000 m, 29:32.53, Vivian Cheruiyot, 12 August 2016, Olympic Games, Rio de Janeiro, Brazil,,
10 km (road), 29:43, Joyciline Jepkosgei, 9 September 2017, Birell Prague Grand Prix, Prague, Czech Republic,,
15 km (road), 45:37+, Joyciline Jepkosgei, 1 April 2017, Prague Half Marathon, Prague, Czech Republic,,
10 miles (road), 50:05+, Mary Jepkosgei Keitany, 18 February 2011, Ras Al Khaimah Half Marathon, Ras al-Khaimah, United Arab Emirates,,
One hour, 18340 m, Tegla Loroupe, 8 August 1998,  , Borgholzhausen, Germany,,
20000 m (track), 1:05:26.6, Tegla Loroupe, 3 September 2000,  , Borgholzhausen, Germany,,
20 km (road), 1:01:25+, Joyciline Jepkosgei, 1 April 2017, Prague Half Marathon, Prague, Czech Republic,,
Half marathon, 1:04:51, Joyciline Jepkosgei, 22 October 2017, Valencia Half Marathon, Valencia, Spain,,
25000 m (track), 1:27:05.84, Tegla Loroupe, 21 September 2002,  , Mengerskirchen, Germany,,
25 km (road), 1:19:43+, Mary Jepkosgei Keitany, 23 April 2017, London Marathon, London, United Kingdom,,
30000 m (track), 1:45:50.00, Tegla Loroupe, 6 June 2003,  , Warstein, Germany,,
30 km (road), 1:36:05+, Mary Jepkosgei Keitany, 23 April 2017, London Marathon, London, United Kingdom,,
Marathon, 2:17:01, Mary Jepkosgei Keitany, 23 April 2017, London Marathon, London, United Kingdom,,
100 m hurdles, 14.08 A, Priscilla Tabuda, 11 July 2015, Kenyan Championships, Kasarani, Kenya,,
400 m hurdles, 55.84, Francisca Koki, 14 August 2014,  , Marrakesh, Morocco,,
55.82 A X, Francisca Koki, 11 July 2015, Kenyan Championships, Kasarani, Kenya,,,
2000 m steeplechase, 6:02.16, Virginia Nyambura Nganga, 6 September 2015, ISTAF, Berlin, Germany,,
3000 m steeplechase, 8:58.78, Celliphine Chepteek Chespol, 26 May 2017, Prefontaine Classic, Eugene, United States,,
8:44.32, Beatrice Chepkoech, 20 July 2018, Herculis, Fontvieille, Monaco,,,
High jump, 1.71 m A, Lenah Serem, 7 June 1991,  , Nairobi, Kenya,,
Pole vault, 3.20 m A, Caroline Cherotich, 9–11 July 2015,  , Nairobi, Kenya,,
Long jump, 6.39 m A, Ruth Onsarigo, 23 December 1989,  , Nairobi, Kenya,,
Triple jump, 12.91 m A, Caroline Kola, 20 June 2001,  , Nairobi, Kenya,,
Shot put, 15.60 m A, Elizabeth Olaba, 27 June 1987,  , Nairobi, Kenya,,
Discus throw, 49.68 m A, Joyce Kiume, 21 May 1999,  , Nakuru, Kenya,,
Hammer throw, 59.72 m A, Linda Oseso, 14 June 2012, Kenyan Championships, Nairobi, Kenya,,
Javelin throw, 53.58 m, Cecilia Kiplangat, 3 March 2007, Athletics Kenya Meeting, Kisumu, Kenya,,
Heptathlon, 5407 pts, Caroline Kola, 22–23 August 1994, Commonwealth Games, Victoria, Canada,,
14.78 (100 m hurdles), 1.53 m (high jump), 12.84 m (shot put), 26.02 (200 m) / 5.55 m (long jump), 41.50 m (javelin), 2:10.47 (800 m),,,
10000 m walk (track), 44:41.8 (ht) A, Grace Wanjiru, 5 March 2016, AK Thika Meet, Thika, Kenya,,
20 km walk (road), 1:30:43, Grace Wanjiru, 26 June 2016, African Championships, Durban, South Africa,,
1:28:15 A #[b], 15 July 2011, Kenyan Championships, Nairobi, Kenya],,,,
50 km walk (road),  ,  ,  ,  ,  ,,,
4×100 m relay, 44.75,"  Kenya
Eunice Kadogo
Milicent Ndoro
Frasha Wangari
Maureen Nyatichi", 15 September 2015, All-Africa Games, Brazzaville, Republic of the Congo,,
4×200 m relay, 1:40.65,"  Kenya
Maximila Imali
Mary Chepkoech
Peris Wairimu Chege
Damaris Akoth", 22 April 2017, IAAF World Relays, Nassau, Bahamas,,
4×400 m relay, 3:28.94 A,"  Kenya
Geraldine Shitandayi
Florence Wanjiru
Esther Kavaya
Francisca Chepkurui", 12 August 1987, All-Africa Games, Nairobi, Kenya,,
4×800 m relay, 8:04.28,"  Kenya
Janeth Jepkosgei
Agatha Jeruto Kimaswai
Sylvia Chematui Chesebe
Eunice Jepkoech Sum", 25 May 2014, IAAF World Relays, Nassau, Bahamas,,
Distance medley relay, 10:43.35,"  Kenya
Selah Jepleting Busienei (1200 m)
Joy Nakhumicha Sakari (400 m)
Sylivia Chematui Chesebe (800 m)
Virginia Nyambura Nganga (1600 m)", 2 May 2015, IAAF World Relays, Nassau, Bahamas,,
4×1500 m relay, 16:33.58,"  Kenya
Mercy Cherono
Faith Kipyegon
Irene Jelagat
Hellen Onsando Obiri", 24 May 2014, 2014 IAAF World Relays, Nassau, Bahamas,,
Ekiden relay, 2:13:35,"  Kenya
Philes Ongori
Everline Kimwei
Sally Chepyego Kaptich
Catherine Ndereba
Jane Wanjiku
Lucy Wangui Kabuu", 23 November 2006, International Chiba Ekiden, Chiba, Japan,,
